电影原名,电影别名,导演,主演,时间,国家,类型,评价人数,电影图片URL
虎口脱险,横冲直撞出重围(港)  /  大進擊(台),杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès..., 1966,法国 英国,喜剧 战争,286159人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.webp
崖上的波妞,悬崖上的金鱼姬  /  悬崖上的金鱼公主,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir..., 2008,日本,动画 奇幻 冒险,556806人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.webp
大红灯笼高高挂,Raise The Red Lantern  /  Épouses et concubines,张艺谋 Yimou Zhang,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛..., 1991,中国大陆 中国香港 中国台湾,剧情,349170人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.webp
真爱至上,真的恋爱了(港)  /  爱是您，爱是我(台),理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆..., 2003,英国 美国 法国,喜剧 剧情 爱情,790581人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.webp
千钧一发,变种异煞(港)  /  自然人,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛..., 1997,美国,剧情 科幻 惊悚,335498人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792423963.webp
罗生门,Rashomon,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ..., 1950,日本,剧情 犯罪 悬疑,347764人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.webp
恋恋笔记本,忘了·忘不了(港)  /  手札情缘(台),尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /..., 2004,美国,剧情 爱情,730904人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.webp
彗星来的那一夜,相干性  /  相干效应,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em..., 2013,美国 英国,科幻 悬疑 惊悚,659118人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.webp
哈利·波特与凤凰社,哈利波特5：凤凰会的密令(港 / 台) ,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe..., 2007,英国 美国,奇幻 冒险,669108人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456924.webp
海边的曼彻斯特,情系海边之城(港),肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle..., 2016,美国,剧情 家庭,627030人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.webp
火星救援,火星任务(港)  /  绝地救援(台),雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡..., 2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,807889人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.webp
黑客帝国2：重装上阵,22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,..., 2003,美国,动作 科幻,443272人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.webp
奇迹男孩,奇迹,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr..., 2017,美国 中国香港,剧情 儿童 家庭,588984人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.webp
